"","pop1","pop2","actual","X_1","X_2"
"348","Oostvoordduinen","Keiheuvel",0.225045169824267,21,48
"349","Oostvoordduinen","Kortenhoeff-NL",0.257070808910544,21,42
"350","Oostvoordduinen","Arendschot",0.145018364908095,21,45
"351","Oostvoordduinen","Kalmthout",0.187648429804254,21,43
"352","Oostvoordduinen","Hamont-Achel3",0.177667987723553,21,50
"353","Oostvoordduinen","Hamont-Achel2",0.227956661797483,21,49
"354","Oostvoordduinen","Hamont-Achel1",0.191446956151507,21,51
"355","Oostvoordduinen","Vloethemveld-Zuid",0.0840423742747197,21,40
"356","Oostvoordduinen","Raversijde2",0.0635657518361548,21,30
"357","Oostvoordduinen","Vloethemveld-Noord",0.140592869428358,21,39
"358","Oostvoordduinen","DuinbossenDeHaan",0.0727448119046286,21,36
"359","Oostvoordduinen","Raversijde1",0.094642667126764,21,29
"360","Oostvoordduinen","Raversijde3",0.0938160504377787,21,31
"361","Oostvoordduinen","Bredene",0.079394887005664,21,35
"362","Oostvoordduinen","Fort Napoleon",0.0778034354847179,21,33
"363","Oostvoordduinen","Averbode",0.111850600997647,21,44
"364","Oostvoordduinen","Sint-Laureins2",0.0775009726079116,21,27
"365","Oostvoordduinen","Sint-Laureins1",0.0619249578616662,21,26
"366","Oostvoordduinen","WarandeduinenMiddelkerke",0.0811916271961967,21,28
"367","Oostvoordduinen","Raversijde4",0.11084277049994,21,32
"368","Oostvoordduinen","SpanjaardduinenOostende",0.0647313121297787,21,34
"369","Oostvoordduinen","Zwinbosjes-grazed",0.117557718207262,21,37
"370","Oostvoordduinen","Harchies",0.249491630985332,21,52
"371","Oostvoordduinen","Lagland",0.163921480574924,21,53
"372","Astridlaan","Simliduinen",0.0268936014651288,19,25
"373","Astridlaan","Cabour",0.0353287754612256,19,5
"374","Astridlaan","Tropiflora",0.0304691046049393,19,7
"375","Astridlaan","Westhoek vissersdorp",0.0392448420425237,19,8
"376","Astridlaan","Geel-Bel",0.124243722003929,19,46
"377","Astridlaan","Karthuizerduinen",0.0511861393949927,19,24
"378","Astridlaan","Oostvoordduinen",0.0258035436627043,19,21
"379","Astridlaan","Astridlaan",0,19,19
"380","Astridlaan","Wetteren",0.185961449233926,19,41
"381","Astridlaan","Mt St Frieux",0.0927011826237336,19,1
"382","Astridlaan","Sangatte",0.0549348252639222,19,3
"383","Astridlaan","HB-Pylyserlaan",0.0290553843929296,19,16
"384","Astridlaan","HB-Doornpanne",0.0452123152712385,19,14
"385","Astridlaan","Witte Burg",0.0448569148209157,19,18
"386","Astridlaan","Ter Yde IWVA",0.0376511172954638,19,23
"387","Astridlaan","Veurne",0.0549220538681827,19,6
"388","Astridlaan","Slack",0.0807793023245012,19,2
"389","Astridlaan","HB-Noord",0.0315839673668908,19,13
"390","Astridlaan","Belvedere",0.0486074020358881,19,12
"391","Astridlaan","Westhoek NO",0.0377923658620263,19,9
"392","Astridlaan","Westhoek Oost",0.0422714029289735,19,10
"393","Astridlaan","Oosthoekduinen",0.0298526036202381,19,11
"394","Astridlaan","Schipgatduinen",0.0619611163682231,19,17
"395","Astridlaan","HB-Oost",0.0519618289503346,19,15
"396","Astridlaan","Zwinbosjes",0.111684038139534,19,38
"397","Astridlaan","Ter Yde West",0.0338668145927247,19,22
"398","Astridlaan","Plaatsduinen",0.0293367236881366,19,20
"399","Astridlaan","Westhoek Zuid",0.0370026294760523,19,4
"400","Astridlaan","Kopberg",0.122885733707961,19,47
"401","Astridlaan","Keiheuvel",0.204357148703622,19,48
