"","locus","observed","median","percentile2.5th","percentile97.5th","pop"
"198","AGBro111",-0.076625386996904,-0.0861897390535161,-0.179093567251462,0.0359649122807018,"Mt St Frieux2018"
"199","AGBro116",-0.00877192982456139,-0.0181204627949183,-0.128389154704944,0.118481968810916,"Mt St Frieux2018"
"200","AGBro12",-0.010536398467433,-0.0201866306867575,-0.0834631730981866,0.0536610300618921,"Mt St Frieux2018"
"201","AGBro138",0.0296052631578948,0.0126315789473684,-0.0623781676413256,0.175837320574163,"Mt St Frieux2018"
"202","AGBro144",-0.0719814241486068,-0.0797213622291021,-0.144448163333612,0.0018331772144487,"Mt St Frieux2018"
"203","AGBro153",0.0321637426900584,0.0232793522267207,-0.0880007162563668,0.174379485645933,"Mt St Frieux2018"
"204","AGBro16",-0.0208333333333334,-0.0208333333333334,-0.0573308270676692,-0.00131578947368441,"Mt St Frieux2018"
"205","AGBro161",0.0524691358024691,0.0459674922600619,-0.0757698863636363,0.21601314200356,"Mt St Frieux2018"
"206","AGBro20",-0.00131578947368441,-0.00131578947368441,-0.0107655502392344,0,"Mt St Frieux2018"
"207","AGBro218",0.05458089668616,0.0467836257309942,-0.0882852292020373,0.237986270022883,"Mt St Frieux2018"
"208","AGBro227",-0.0435222672064777,-0.0435222672064777,-0.099320882852292,-0.0107655502392344,"Mt St Frieux2018"
"209","AGBro234",-0.0452302631578948,-0.0534290271132377,-0.152635233918129,0.0847979323308269,"Mt St Frieux2018"
"210","AGBro266",-0.0833333333333334,-0.0833333333333334,-0.157120743034056,-0.00526315789473679,"Mt St Frieux2018"
"211","AGBro299",-0.0178571428571429,-0.0326315789473684,-0.112664473684211,0.0991902834008096,"Mt St Frieux2018"
"212","AGBro307",-0.00526315789473679,-0.0107655502392344,-0.0662431941923775,0.0549199084668193,"Mt St Frieux2018"
"213","AGBro32",-0.0699013157894737,-0.0781250000000001,-0.152943791314534,0.0245227832512315,"Mt St Frieux2018"
"214","AGBro337",-0.00501253132832065,-0.00501253132832065,-0.0274122807017545,0,"Mt St Frieux2018"
"215","AGBro35",0.167105263157895,0.167105263157895,-0.00501253132832065,0.377631578947368,"Mt St Frieux2018"
"216","AGBro375",-0.0159774436090226,-0.023391812865497,-0.138980263157895,0.146453089244851,"Mt St Frieux2018"
"217","AGBro403",-0.0466165413533834,-0.0556833259619637,-0.117728531855956,0.0152044706937798,"Mt St Frieux2018"
"218","AGBro419",-0.00789473684210526,-0.0114035087719298,-0.12469040247678,0.144934210526316,"Mt St Frieux2018"
"219","AGBro467",-0.0368421052631578,-0.0485036119711042,-0.0990304709141274,0.0199362041467304,"Mt St Frieux2018"
"220","AGBro480",0.0441729323308271,0.0344924812030075,-0.0722410865874363,0.18,"Mt St Frieux2018"
"221","AGBro487",-0.0320723684210527,-0.0418682275541796,-0.14812030075188,0.119360902255639,"Mt St Frieux2018"
"222","AGBro57",0.113684210526316,0.0961538461538461,-0.0535087719298246,0.325814536340852,"Mt St Frieux2018"
"223","AGBro76",-0.00453720508166979,-0.0245009074410164,-0.102819030572756,0.099205043859649,"Mt St Frieux2018"
"224","AGBro9",-0.0172932330827067,-0.0285714285714285,-0.0844875346260388,0.0394942434210526,"Mt St Frieux2018"
"225","AGBro110",0.113793103448276,0.103333333333333,-0.05314453125,0.303,"Sangatte2018"
"226","AGBro111",0.0522727272727272,0.0384358288770053,-0.0567852062588905,0.15425,"Sangatte2018"
"227","AGBro116",0.0330357142857143,0.0208333333333333,-0.0830645161290323,0.174188043478261,"Sangatte2018"
"228","AGBro12",0.0225,0.00998883928571426,-0.0683865037950664,0.126851851851852,"Sangatte2018"
"229","AGBro138",NA,NA,NA,NA,"Sangatte2018"
"230","AGBro144",0.0264705882352942,0.0139705882352941,-0.0791216216216215,0.129838709677419,"Sangatte2018"
"231","AGBro153",0.0594827586206896,0.0473611111111111,-0.0462121212121212,0.172340315934066,"Sangatte2018"
"232","AGBro16",0.0346153846153845,0.0253720238095238,-0.0342681623931623,0.0906250000000001,"Sangatte2018"
"233","AGBro161",-0.0217741935483871,-0.03,-0.143571428571429,0.117867445054945,"Sangatte2018"
"234","AGBro20",-0.0166666666666667,-0.0166666666666667,-0.0571428571428573,-0.00119047619047616,"Sangatte2018"
"235","AGBro218",0.0705357142857143,0.0571428571428571,-0.0830645161290323,0.245833333333333,"Sangatte2018"
"236","AGBro227",0.00803571428571427,0.000961538461538526,-0.062941091954023,0.0685024154589372,"Sangatte2018"
"237","AGBro234",-0.0566176470588235,-0.0658712121212121,-0.144078947368421,0.0433333333333333,"Sangatte2018"
