"populations" "actual" "lower" "upper"
"154" "Belvedere_324,  vs  Hamont-Achel2_D102," 0.0672 0.01 0.1468
"155" "Belvedere_324,  vs  Hamont-Achel3_D97," 0.0754 0.0288 0.132
"156" "Belvedere_324,  vs  Harchies_W2," 0.1277 0.0744 0.1968
"157" "Belvedere_324,  vs  HB-Doornpanne_256," -1e-04 -0.0197 0.0453
"158" "Belvedere_324,  vs  HB-Noord_247," 9e-04 -0.0289 0.0611
"159" "Belvedere_324,  vs  HB-Oost_241," 0.0022 -0.0278 0.056
"160" "Belvedere_324,  vs  HB-Pylyserlaan_201," -1e-04 -0.0204 0.0441
"161" "Belvedere_324,  vs  Kalmthout_D84," 0.0654 0.0206 0.1293
"162" "Belvedere_324,  vs  Karthuizerduinen_T77," -0.0056 -0.0178 0.0308
"163" "Belvedere_324,  vs  Keiheuvel_D51," 0.0857 0.0409 0.1461
"164" "Belvedere_324,  vs  Kopberg_D24," 0.0288 -0.0073 0.0805
"165" "Belvedere_324,  vs  Kortenhoeff-NL_D61," 0.1075 0.041 0.191
"166" "Belvedere_324,  vs  Lagland_W28," 0.1014 0.0597 0.1553
"167" "Belvedere_324,  vs  MtStFrieux_667," 0.0146 -0.0149 0.0663
"168" "Belvedere_324,  vs  Oosthoekduinen_89," 3e-04 -0.0207 0.0421
"169" "Belvedere_324,  vs  Oostvoordduinen_T78," 0 -0.0217 0.0449
"170" "Belvedere_324,  vs  Plaatsduinen_440," 2e-04 -0.0245 0.053
"171" "Belvedere_324,  vs  Raversijde1_G38," 1e-04 -0.0297 0.0617
"172" "Belvedere_324,  vs  Raversijde2_G253," 0 -0.0256 0.051
"173" "Belvedere_324,  vs  Sangatte_687," 0 -0.0204 0.0384
"174" "Belvedere_324,  vs  Schipgatduinen_T41," 0.0042 -0.0228 0.046
"175" "Belvedere_324,  vs  Simliduinen_473," -0.0026 -0.0197 0.0385
"176" "Belvedere_324,  vs  Sint-Laureins1_G91," 0 -0.0214 0.0486
"177" "Belvedere_324,  vs  Sint-Laureins2_G84," -1e-04 -0.0288 0.0573
"178" "Belvedere_324,  vs  Slack_632," 0.0142 -0.0159 0.0605
"179" "Belvedere_324,  vs  SpanjaardduinenOostende_G153," 0.0013 -0.034 0.0578
"180" "Belvedere_324,  vs  TerYdeIWVA_407," 0 -0.0208 0.0416
"181" "Belvedere_324,  vs  TerYdeWest_382," -1e-04 -0.0163 0.0365
"182" "Belvedere_324,  vs  Tropiflora_31," 1e-04 -0.0234 0.044
